"Severity","ThreadID","Date","Time","Application","Message"
"Information","main","02/27/21","13:51:36","","awssns package will not be deployed as it is not installed."
"Information","main","02/27/21","13:51:36","","azureservicebus package will not be deployed as it is not installed."
"Information","main","02/27/21","13:51:36","","awsdynamodb package will not be deployed as it is not installed."
"Information","main","02/27/21","13:51:36","","report package will not be deployed as it is not installed."
"Information","main","02/27/21","13:51:36","","exchange package will not be deployed as it is not installed."
"Information","main","02/27/21","13:51:36","","sharepoint package will not be deployed as it is not installed."
"Information","main","02/27/21","13:51:36","","ColdFusion started"
"Information","main","02/27/21","13:51:36","","ColdFusion: application services are now available"
"Information","Thread-10","02/27/21","13:54:19","","ColdFusion stopped"
"Information","main","02/27/21","13:54:31","","Starting logging..."
"Information","main","02/27/21","13:54:31","","Starting license..."
"Information","main","02/27/21","13:54:33","","Developer Edition enabled"
"Information","main","02/27/21","13:54:33","","Starting crypto..."
"Information","main","02/27/21","13:54:33","","Installed JSafe JCE provider: Version 6.21 Crypto-J 6.2.1, EMC Corporation. JsafeJCE Security Provider (implements RSA, DSA, ECDSA, Diffie-Hellman, ECDH, AES, DES, Triple DES, DESX, RC2, RC4, RC5, PBE, MD2, MD5, RIPEMD160, SHA1, SHA224, SHA256, SHA384, SHA512, HMAC-MD5, HMAC-RIPEMD160, HMAC-SHA1, HMAC-SHA224, HMAC-SHA256, HMAC-SHA384, HMAC-SHA512, HMACDRBG, HASHDRBG, CTRDRBG, FIPS186PRNG, SHA1PRNG, MD5PRNG; RFC 3394, RFC 5649 AES Key Wrap; X.509 CertificateFactory; PKCS12, PKCS15 KeyStore; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathValidators; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathBuilders; LDAP, Collection CertStores)"
"Information","main","02/27/21","13:54:33","","Starting security..."
"Information","main","02/27/21","13:54:33","","Starting scheduler..."
"Information","main","02/27/21","13:54:33","","Starting WatchService..."
"Information","main","02/27/21","13:54:33","","Starting sql..."
"Information","main","02/27/21","13:54:33","","Starting runtime..."
"Information","main","02/27/21","13:54:34","","Starting client..."
"Information","main","02/27/21","13:54:34","","Starting archive..."
"Information","main","02/27/21","13:54:34","","Starting CloudConfig..."
"Information","main","02/27/21","13:54:34","","Starting VendorCredential..."
"Information","main","02/27/21","13:54:34","","Starting rest..."
"Information","main","02/27/21","13:54:34","","Starting registry..."
"Information","main","02/27/21","13:54:34","","Package adminapi started..."
"Information","main","02/27/21","13:54:34","","Package administrator started..."
"Information","main","02/27/21","13:54:34","","redissessionstorage package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","debugger package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","zip package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","image package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","caching package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","cfmongodb package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","mail package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","spreadsheet package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","axis package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","chart package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","feed package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","print package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","search package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","document package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","presentation package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","eventgateways package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","dotnet package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","pmtagent package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","htmltopdf package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","awslambda package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","com package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","saml package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","awss3 package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","awss3legacy package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","azureblob package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","pdf package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","websocket package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","orm package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","ormsearch package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","ajax package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","derby package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","oracle package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","mysql package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","db2 package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","sybase package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","postgresql package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","sqlserver package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","odbc package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","scheduler package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","ftp package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","awssqs package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","awssns package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","azureservicebus package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","awsdynamodb package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","report package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","exchange package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","sharepoint package will not be deployed as it is not installed."
"Information","main","02/27/21","13:54:34","","ColdFusion started"
"Information","main","02/27/21","13:54:34","","ColdFusion: application services are now available"
"Information","main","02/27/21","14:13:12","","Starting logging..."
"Information","main","02/27/21","14:13:12","","Starting license..."
